merchant_id,merchant_name,merchant_category,merchant_country,merchant_country_risk_level,high_risk_category_flag
MER000194,Luxury Goods Merchant 194,Luxury Goods,France,Low,1
MER000195,Electronics Merchant 195,Electronics,United Arab Emirates,Medium,0
MER000196,Groceries Merchant 196,Groceries,Germany,Low,0
MER000197,Groceries Merchant 197,Groceries,United States,Low,0
MER000198,Pharmacy Merchant 198,Pharmacy,Turkey,High,0
MER000199,Travel Merchant 199,Travel,Nigeria,High,0
MER000200,Cash Withdrawal Merchant 200,Cash Withdrawal,United Kingdom,Low,1
MER000201,Online Marketplace Merchant 201,Online Marketplace,Singapore,Low,0
MER000202,Cash Withdrawal Merchant 202,Cash Withdrawal,Germany,Low,1
MER000203,Groceries Merchant 203,Groceries,United States,Low,0
MER000204,Subscription Merchant 204,Subscription,Singapore,Low,0
MER000205,Fuel Merchant 205,Fuel,France,Low,0
MER000206,Money Transfer Merchant 206,Money Transfer,Turkey,High,1
MER000207,Luxury Goods Merchant 207,Luxury Goods,Spain,Low,1
MER000208,Gambling Merchant 208,Gambling,France,Low,1
MER000209,Gambling Merchant 209,Gambling,Turkey,High,1
MER000210,Gambling Merchant 210,Gambling,Pakistan,Medium,1
MER000211,Hotels Merchant 211,Hotels,Netherlands,Low,0
MER000212,Subscription Merchant 212,Subscription,United Arab Emirates,Medium,0
MER000213,Pharmacy Merchant 213,Pharmacy,Spain,Low,0
MER000214,Restaurants Merchant 214,Restaurants,Spain,Low,0
MER000215,Crypto Exchange Merchant 215,Crypto Exchange,Spain,Low,1
MER000216,Groceries Merchant 216,Groceries,Turkey,High,0
MER000217,Electronics Merchant 217,Electronics,Pakistan,Medium,0
MER000218,Money Transfer Merchant 218,Money Transfer,France,Low,1
MER000219,Money Transfer Merchant 219,Money Transfer,United Kingdom,Low,1
MER000220,Hotels Merchant 220,Hotels,Nigeria,High,0
MER000221,Electronics Merchant 221,Electronics,Germany,Low,0
MER000222,Cash Withdrawal Merchant 222,Cash Withdrawal,Canada,Low,1
MER000223,Electronics Merchant 223,Electronics,Germany,Low,0
MER000224,Crypto Exchange Merchant 224,Crypto Exchange,France,Low,1
MER000225,Travel Merchant 225,Travel,Pakistan,Medium,0
MER000226,Electronics Merchant 226,Electronics,Germany,Low,0
MER000227,Hotels Merchant 227,Hotels,Canada,Low,0
MER000228,Hotels Merchant 228,Hotels,India,Medium,0
MER000229,Restaurants Merchant 229,Restaurants,United Arab Emirates,Medium,0
MER000230,Fuel Merchant 230,Fuel,Germany,Low,0
MER000231,Groceries Merchant 231,Groceries,Spain,Low,0
MER000232,Electronics Merchant 232,Electronics,United States,Low,0
MER000233,Money Transfer Merchant 233,Money Transfer,Canada,Low,1
MER000234,Gambling Merchant 234,Gambling,Germany,Low,1
MER000235,Restaurants Merchant 235,Restaurants,Turkey,High,0
MER000236,Luxury Goods Merchant 236,Luxury Goods,United States,Low,1
MER000237,Fuel Merchant 237,Fuel,Turkey,High,0
MER000238,Travel Merchant 238,Travel,Spain,Low,0
MER000239,Crypto Exchange Merchant 239,Crypto Exchange,France,Low,1
MER000240,Travel Merchant 240,Travel,United Kingdom,Low,0
MER000241,Cash Withdrawal Merchant 241,Cash Withdrawal,Turkey,High,1
MER000242,Cash Withdrawal Merchant 242,Cash Withdrawal,Turkey,High,1
MER000243,Groceries Merchant 243,Groceries,Italy,Low,0
MER000244,Luxury Goods Merchant 244,Luxury Goods,Germany,Low,1
MER000245,Fuel Merchant 245,Fuel,India,Medium,0
MER000246,Cash Withdrawal Merchant 246,Cash Withdrawal,Nigeria,High,1
MER000247,Groceries Merchant 247,Groceries,Netherlands,Low,0
MER000248,Online Marketplace Merchant 248,Online Marketplace,France,Low,0
MER000249,Crypto Exchange Merchant 249,Crypto Exchange,Singapore,Low,1
MER000250,Gambling Merchant 250,Gambling,Germany,Low,1
